"","Name","Symbol","Mass","Abund."
"128","Mercury","Hg(204)","203.973481","6.80"
"129","Molybdenum","Mo(92)","91.906809","14.84"
"130","Molybdenum","Mo(94)","93.905086","9.25"
"131","Molybdenum","Mo(95)","94.905838","15.92"
"132","Molybdenum","Mo(96)","95.904676","16.68"
"133","Molybdenum","Mo(97)","96.906018","9.55"
"134","Molybdenum","Mo(98)","97.905405","24.13"
"135","Molybdenum","Mo(100)","99.907473","9.63"
"136","Neodymium","Nd(142)","141.907731","27.13"
"137","Neodymium","Nd(143)","142.909823","12.18"
"138","Neodymium","Nd(144)","143.910096","23.80"
"139","Neodymium","Nd(145)","144.912582","8.30"
"140","Neodymium","Nd(146)","145.913126","17.19"
"141","Neodymium","Nd(148)","147.916901","5.76"
"142","Neodymium","Nd(150)","149.920900","5.64"
"143","Neon","Ne(20)","19.992439","90.60"
"144","Neon","Ne(21)","20.993845","0.26"
"145","Neon","Ne(22)","21.991384","9.20"
"146","Nickel","Ni(58)","57.935347","68.27"
"147","Nickel","Ni(60)","59.930789","26.10"
"148","Nickel","Ni(61)","60.931059","1.13"
"149","Nickel","Ni(62)","61.928346","3.59"
"150","Nickel","Ni(64)","63.927968","0.91"
"151","Niobium","Nb(93)","92.906378","100.00"
"152","Nitrogen","N(14)","14.003074","99.63"
"153","Nitrogen","N(15)","15.000109","0.37"
"154","Osmium","Os(184)","183.952514","0.02"
"155","Osmium","Os(186)","185.953852","1.58"
"156","Osmium","Os(187)","186.955762","1.60"
"157","Osmium","Os(188)","187.955850","13.30"
"158","Osmium","Os(189)","188.958156","16.10"
"159","Osmium","Os(190)","189.958455","26.40"
"160","Osmium","Os(192)","191.961487","41.00"
"161","Oxygen","O(16)","15.994915","99.76"
"162","Oxygen","O(17)","16.999131","0.038"
"163","Oxygen","O(18)","17.999159","0.20"
"164","Palladium","Pd(102)","101.905609","1.02"
"165","Palladium","Pd(104)","103.904026","11.14"
"166","Palladium","Pd(105)","104.905075","22.33"
"167","Palladium","Pd(106)","105.903475","27.33"
"168","Palladium","Pd(108)","107.903894","26.46"
"169","Palladium","Pd(110)","109.905169","11.72"
"170","Phosphorus","P(31)","30.973763","100.00"
"171","Platinum","Pt(190)","189.959937","0.010"
"172","Platinum","Pt(192)","191.961049","0.79"
"173","Platinum","Pt(194)","193.962679","32.90"
"174","Platinum","Pt(195)","194.964785","33.80"
"175","Platinum","Pt(196)","195.964947","25.30"
"176","Platinum","Pt(198)","197.967879","7.20"
"177","Potassium","K(39)","38.963708","93.20"
"178","Potassium","K(40)","39.963999","0.012"
"179","Potassium","K(41)","40.961825","6.73"
"180","Praseodymium","Pr(141)","140.907657","100.00"
"181","Rhenium","Re(185)","184.952977","37.40"
"182","Rhenium","Re(187)","186.955765","62.60"
"183","Rhodium","Rh(103)","102.905503","100.00"
"184","Rubidium","Rb(85)","84.911800","72.17"
"185","Rubidium","Rb(87)","86.909184","27.84"
"186","Ruthenium","Ru(96)","95.907596","5.52"
"187","Ruthenium","Ru(98)","97.905287","1.88"
"188","Ruthenium","Ru(99)","98.905937","12.70"
"189","Ruthenium","Ru(100)","99.904218","12.60"
"190","Ruthenium","Ru(101)","100.905581","17.00"
"191","Ruthenium","Ru(102)","101.904348","31.60"
"192","Ruthenium","Ru(104)","103.905422","18.70"
"193","Samarium","Sm(144)","143.912009","3.10"
"194","Samarium","Sm(147)","146.914907","15.00"
"195","Samarium","Sm(148)","147.914832","11.30"
"196","Samarium","Sm(149)","148.917193","13.80"
"197","Samarium","Sm(150)","149.917285","7.40"
"198","Samarium","Sm(152)","151.919741","26.70"
"199","Samarium","Sm(154)","153.922218","22.70"
"200","Scandium","Sc(45)","44.955914","100.00"
"201","Selenium","Se(74)","73.922477","0.90"
"202","Selenium","Se(76)","75.919207","9.00"
"203","Selenium","Se(77)","76.919908","7.60"
"204","Selenium","Se(78)","77.917304","23.50"
"205","Selenium","Se(80)","79.916521","49.60"
"206","Selenium","Se(82)","81.916709","9.40"
"207","Silicon","Si(28)","27.976928","92.23"
"208","Silicon","Si(29)","28.976496","4.67"
"209","Silicon","Si(30)","29.973772","3.10"
"210","Silver","Ag(107)","106.905095","51.84"
"211","Silver","Ag(109)","108.904754","48.16"
"212","Sodium","Na(23)","22.989770","100.00"
"213","Strontium","Sr(84)","83.913428","0.56"
"214","Strontium","Sr(86)","85.909273","9.86"
"215","Strontium","Sr(87)","86.908902","7.00"
"216","Strontium","Sr(88)","87.905625","82.58"
"217","Sulfur","S(32)","31.972072","95.02"
"218","Sulfur","S(33)","32.971459","0.75"
"219","Sulfur","S(34)","33.967868","4.21"
"220","Sulfur","S(36)","35.967079","0.020"
"221","Tantalum","Ta(180)","179.947489","0.012"
"222","Tantalum","Ta(181)","180.948014","99.99"
"223","Tellurium","Te(120)","119.904021","0.096"
"224","Tellurium","Te(122)","121.903055","2.60"
"225","Tellurium","Te(123)","122.904278","0.91"
"226","Tellurium","Te(124)","123.902825","4.82"
"227","Tellurium","Te(125)","124.904435","7.14"
"228","Tellurium","Te(126)","125.903310","18.95"
"229","Tellurium","Te(128)","127.904464","31.69"
"230","Tellurium","Te(130)","129.906229","33.80"
"231","Terbium","Tb(159)","158.925350","100.00"
"232","Thallium","Tl(203)","202.972336","29.52"
"233","Thallium","Tl(205)","204.974410","70.48"
"234","Thorium","Th(232)","232.038054","100.00"
"235","Thulium","Tm(169)","168.934225","100.00"
"236","Tin","Sn(112)","111.904826","0.97"
"237","Tin","Sn(114)","113.902784","0.65""238","Tin","Sn(115)","114.903348","0.36"
"239","Tin","Sn(116)","115.901744","14.70"
"240","Tin","Sn(117)","116.902954","7.70"
"241","Tin","Sn(118)","117.901607","24.30"
"242","Tin","Sn(119)","118.903310","8.60"
"243","Tin","Sn(120)","119.902199","32.40"
"244","Tin","Sn(122)","121.903440","4.60"
"245","Tin","Sn(124)","123.905271","5.60"
"246","Titanium","Ti(46)","45.952633","8.00"
"247","Titanium","Ti(47)","46.951765","7.30"
"248","Titanium","Ti(48)","47.947947","73.80"
"249","Titanium","Ti(49)","48.947871","5.50"
"250","Titanium","Ti(50)","49.944786","5.40"
"251","Tungsten","W(180)","179.946727","0.13"
"252","Tungsten","W(182)","181.948225","26.30"
"253","Tungsten","W(183)","182.950245","14.30"
"254","Tungsten","W(184)","183.950953","30.67"
"255","Tungsten","W(186)","185.954377","28.60"
"256","Uranium","U(234)","234.040947","0.006"
"257","Uranium","U(235)","235.043925","0.72"
"258","Uranium","U(238)","238.050786","99.27"
"259","Vanadium","V(50)","49.947161","0.25"
"260","Vanadium","V(51)","50.943963","99.75"
"261","Xenon","Xe(124)","123.905894","0.10"
"262","Xenon","X(126)","125.904281","0.09"
"263","Xenon","Xe(128)","127.903531","1.91"
"264","Xenon","Xe(129)","128.904780","26.40"
"265","Xenon","Xe(130)","129.903510","4.10"
"266","Xenon","Xe(131)","130.905076","21.20"
"267","Xenon","Xe(132)","131.904148","26.90"
"268","Xenon","Xe(134)","133.905395","10.40"
"269","Xenon","Xe(136)","135.907219","8.90"
"270","Ytterbium","Yb(168)","167.933908","0.13"
"271","Ytterbium","Yb(170)","169.934774","3.05"
"272","Ytterbium","Yb(171)","170.936338","14.30"
"273","Ytterbium","Yb(172)","171.936393","21.90"
"274","Ytterbium","Yb(173)","172.938222","16.12"
"275","Ytterbium","Yb(174)","173.938873","31.80"
"276","Ytterbium","Yb(176)","175.942576","12.70"
"277","Yttrium","Y(89)","88.905856","100.00"
"278","Zinc","Zn(64)","63.929145","48.60"
"279","Zinc","Zn(66)","65.926035","27.90"
"280","Zinc","Zn(67)","66.927129","4.10"
"281","Zinc","Zn(68)","67.924846","18.80"
"282","Zinc","Zn(70)","69.925325","0.60"
"283","Zirconium","Zr(90)","89.904708","51.45"
"284","Zirconium","Zr(91)","90.905644","11.27"
"285","Zirconium","Zr(92)","91.905039","17.17"
"286","Zirconium","Zr(94)","93.906319","17.33"
"287","Zirconium","Zr(96)","95.908272","2.78"
